Name,Type,Lvl,Weapon,WpnClass,Armor,ArmrClass,Class,SpriteClass,Hp,Atk,Splash,Def,Vsn,Stl,Rng,Spd,Crop,Gold,Iron,Wood,Labor,Time,UpgrdCrop,UpgrdGold,UpgrdIron,UpgrdWood,UpgrdLabor,UpgrdTime,GrpSize,Upkeep,Carry,Growth,UnitEquivalent,EPU,Impact,Cost,Efficiency
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_FIGHTER,11,1,Sword,Basic,Ground,Leather,UNIT,FIGHTER_UNIT,90,3.0,1,0,0,1,1,3,7,0,0,5,1,650,400,0,0,300,0,10800,20,1,25,CHEAP_UNIT,1,,,,
0_FIGHTER,11,2,Sword,Basic,Ground,Leather,UNIT,FIGHTER_UNIT,97,3.2,1,0,0,1,1,3,7,0,0,5,1,702,580,0,0,435,0,14040,22,1,26,CHEAP_UNIT,1,,,,
0_FIGHTER,11,3,Sword,Basic,Ground,Leather,UNIT,FIGHTER_UNIT,105,3.5,1,0,0,1,1,4,8,0,0,6,1,758,841,0,0,631,0,18252,23,1,28,CHEAP_UNIT,1,,,,
0_FIGHTER,11,4,Sword,Basic,Ground,Leather,UNIT,FIGHTER_UNIT,113,3.8,1,0,0,1,1,4,8,0,0,6,1,819,1219,0,0,915,0,23728,25,1,29,CHEAP_UNIT,1,,,,
0_FIGHTER,11,5,Sword,Basic,Ground,Leather,UNIT,FIGHTER_UNIT,122,4.1,1,0,0,1,1,5,9,0,0,6,1,884,1768,0,0,1326,0,30846,27,1,30,CHEAP_UNIT,1,,,,
0_FIGHTER,11,6,Sword,Basic,Ground,Leather,UNIT,FIGHTER_UNIT,132,4.4,1,0,0,1,1,5,9,0,0,6,1,955,2564,0,0,1923,0,40100,29,1,32,CHEAP_UNIT,1,,,,
0_FIGHTER,11,7,Sword,Basic,Ground,Leather,UNIT,FIGHTER_UNIT,143,4.8,1,0,0,1,1,6,9,0,0,7,1,1031,3718,0,0,2788,0,52130,32,1,34,CHEAP_UNIT,1,,,,
0_FIGHTER,11,8,Sword,Basic,Ground,Leather,UNIT,FIGHTER_UNIT,154,5.1,1,0,0,1,1,6,10,0,0,7,1,1114,5391,0,0,4043,0,67768,34,1,35,CHEAP_UNIT,1,,,,
0_FIGHTER,11,9,Sword,Basic,Ground,Leather,UNIT,FIGHTER_UNIT,167,5.6,1,0,0,1,1,7,10,0,0,7,1,1203,7816,0,0,5862,0,88099,37,1,37,CHEAP_UNIT,1,,,,
0_FIGHTER,11,10,Sword,Basic,Ground,Leather,UNIT,FIGHTER_UNIT,180,6.0,1,0,0,1,1,8,11,0,0,8,1,1299,11334,0,0,8500,0,114529,40,1,39,CHEAP_UNIT,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_BOWMAN,12,1,Bow,Basic,Ground,Leather,UNIT,BOWMAN_UNIT,70,2.0,3,0,0,2,1,6,6,0,0,8,1,725,300,0,0,500,0,10800,20,1,5,CHEAP_UNIT,1,,,,
0_BOWMAN,12,2,Bow,Basic,Ground,Leather,UNIT,BOWMAN_UNIT,76,2.2,3,0,0,2,1,6,6,0,0,8,1,783,435,0,0,725,0,14040,22,1,5,CHEAP_UNIT,1,,,,
0_BOWMAN,12,3,Bow,Basic,Ground,Leather,UNIT,BOWMAN_UNIT,82,2.3,3,0,0,2,1,7,7,0,0,9,1,846,631,0,0,1051,0,18252,23,1,6,CHEAP_UNIT,1,,,,
0_BOWMAN,12,4,Bow,Basic,Ground,Leather,UNIT,BOWMAN_UNIT,88,2.5,3,0,0,2,1,7,7,0,0,9,1,913,915,0,0,1524,0,23728,25,1,6,CHEAP_UNIT,1,,,,
0_BOWMAN,12,5,Bow,Basic,Ground,Leather,UNIT,BOWMAN_UNIT,95,2.7,3,0,0,2,1,8,7,0,0,10,1,986,1326,0,0,2210,0,30846,27,1,6,CHEAP_UNIT,1,,,,
0_BOWMAN,12,6,Bow,Basic,Ground,Leather,UNIT,BOWMAN_UNIT,103,2.9,3,0,0,2,1,8,8,0,0,10,1,1065,1923,0,0,3205,0,40100,29,1,6,CHEAP_UNIT,1,,,,
0_BOWMAN,12,7,Bow,Basic,Ground,Leather,UNIT,BOWMAN_UNIT,111,3.2,3,0,0,2,1,9,8,0,0,11,1,1150,2788,0,0,4647,0,52130,32,1,7,CHEAP_UNIT,1,,,,
0_BOWMAN,12,8,Bow,Basic,Ground,Leather,UNIT,BOWMAN_UNIT,120,3.4,3,0,0,2,1,9,8,0,0,11,1,1243,4043,0,0,6738,0,67768,34,1,7,CHEAP_UNIT,1,,,,
0_BOWMAN,12,9,Bow,Basic,Ground,Leather,UNIT,BOWMAN_UNIT,130,3.7,3,0,0,2,1,10,9,0,0,12,1,1342,5862,0,0,9770,0,88099,37,1,7,CHEAP_UNIT,1,,,,
0_BOWMAN,12,10,Bow,Basic,Ground,Leather,UNIT,BOWMAN_UNIT,140,4.0,3,0,0,2,1,11,9,0,0,12,1,1449,8500,0,0,14167,0,114529,40,1,8,CHEAP_UNIT,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_SWORDSMAN,101,1,Sword,Basic,Ground,Leather,UNIT,SWORDSMAN_UNIT,100,4.0,1,0,0,1,1,6,40,0,0,30,0,475,400,0,0,300,0,14400,20,1,30,NORMAL_UNIT,1,,,,
1_SWORDSMAN,101,2,Sword,Basic,Ground,Leather,UNIT,SWORDSMAN_UNIT,105,4.2,1,0,0,1,1,6,41,0,0,31,0,513,560,0,0,420,0,18720,22,1,32,NORMAL_UNIT,1,,,,
1_SWORDSMAN,101,3,Sword,Basic,Ground,Leather,UNIT,SWORDSMAN_UNIT,110,4.4,1,0,0,1,1,7,42,0,0,31,0,554,784,0,0,588,0,24336,23,1,33,NORMAL_UNIT,1,,,,
1_SWORDSMAN,101,4,Sword,Basic,Ground,Leather,UNIT,SWORDSMAN_UNIT,116,4.6,1,0,0,1,1,7,42,0,0,32,0,598,1098,0,0,823,0,31637,25,1,35,NORMAL_UNIT,1,,,,
1_SWORDSMAN,101,5,Sword,Basic,Ground,Leather,UNIT,SWORDSMAN_UNIT,122,4.9,1,0,0,1,1,8,43,0,0,32,0,646,1537,0,0,1152,0,41128,27,1,36,NORMAL_UNIT,1,,,,
1_SWORDSMAN,101,6,Sword,Basic,Ground,Leather,UNIT,SWORDSMAN_UNIT,128,5.1,1,0,0,1,1,8,44,0,0,33,0,698,2151,0,0,1613,0,53466,29,1,38,NORMAL_UNIT,1,,,,
1_SWORDSMAN,101,7,Sword,Basic,Ground,Leather,UNIT,SWORDSMAN_UNIT,134,5.4,1,0,0,1,1,9,45,0,0,34,0,754,3012,0,0,2259,0,69506,32,1,40,NORMAL_UNIT,1,,,,
1_SWORDSMAN,101,8,Sword,Basic,Ground,Leather,UNIT,SWORDSMAN_UNIT,141,5.6,1,0,0,1,1,9,46,0,0,34,0,814,4217,0,0,3162,0,90358,34,1,42,NORMAL_UNIT,1,,,,
1_SWORDSMAN,101,9,Sword,Basic,Ground,Leather,UNIT,SWORDSMAN_UNIT,148,5.9,1,0,0,1,1,10,47,0,0,35,0,879,5903,0,0,4427,0,117465,37,1,44,NORMAL_UNIT,1,,,,
1_SWORDSMAN,101,10,Sword,Basic,Ground,Leather,UNIT,SWORDSMAN_UNIT,155,6.2,1,0,0,1,1,11,48,0,0,36,0,950,8264,0,0,6198,0,152705,40,1,47,NORMAL_UNIT,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_ARCHER,102,1,Bow,Basic,Ground,Leather,UNIT,ARCHER_UNIT,75,3.0,3,0,0,2,1,9,30,0,0,50,0,525,300,0,0,500,0,14400,20,1,5,NORMAL_UNIT,1,,,,
1_ARCHER,102,2,Bow,Basic,Ground,Leather,UNIT,ARCHER_UNIT,79,3.2,3,0,0,2,1,9,31,0,0,51,0,567,420,0,0,700,0,18720,22,1,5,NORMAL_UNIT,1,,,,
1_ARCHER,102,3,Bow,Basic,Ground,Leather,UNIT,ARCHER_UNIT,83,3.3,3,0,0,2,1,10,31,0,0,52,0,612,588,0,0,980,0,24336,23,1,6,NORMAL_UNIT,1,,,,
1_ARCHER,102,4,Bow,Basic,Ground,Leather,UNIT,ARCHER_UNIT,87,3.5,3,0,0,2,1,10,32,0,0,53,0,661,823,0,0,1372,0,31637,25,1,6,NORMAL_UNIT,1,,,,
1_ARCHER,102,5,Bow,Basic,Ground,Leather,UNIT,ARCHER_UNIT,91,3.6,3,0,0,2,1,11,32,0,0,54,0,714,1152,0,0,1921,0,41128,27,1,6,NORMAL_UNIT,1,,,,
1_ARCHER,102,6,Bow,Basic,Ground,Leather,UNIT,ARCHER_UNIT,96,3.8,3,0,0,2,1,11,33,0,0,55,0,771,1613,0,0,2689,0,53466,29,1,6,NORMAL_UNIT,1,,,,
1_ARCHER,102,7,Bow,Basic,Ground,Leather,UNIT,ARCHER_UNIT,101,4.0,3,0,0,2,1,12,34,0,0,56,0,833,2259,0,0,3765,0,69506,32,1,7,NORMAL_UNIT,1,,,,
1_ARCHER,102,8,Bow,Basic,Ground,Leather,UNIT,ARCHER_UNIT,106,4.2,3,0,0,2,1,12,34,0,0,57,0,900,3162,0,0,5271,0,90358,34,1,7,NORMAL_UNIT,1,,,,
