1691,3074
1688,3127
1723,3130
1672,3122
1674,3074
1723,3068
1740,3122
1741,3077
1657,3074
1689,3192
1689,3005
1707,3201
1719,3182
1655,3130
1756,3127
1723,3006
1640,3074
1753,3058
1671,2998
1739,3184
1691,2950
1773,3122
1707,3263
1719,3244
1657,3198
1773,3060
1621,3130
1681,3254
1620,3065
1647,3006
1674,2950
1723,2944
1757,3191
1754,2999
1791,3129
1791,3067
1640,3198
1604,3060
1655,2944
1715,3316
1657,3260
1776,3198
1621,3005
1623,3198
1583,3120
1810,3136
1817,3068
1757,3254
1754,2937
1583,3058
1571,3077
1640,3260
1793,3198
1606,3198
1739,3308
1827,3136
1571,3139
1603,2998
1705,2812
1689,3378
1808,3184
1654,3313
1809,3015
1740,2874
1620,3251
1843,3077
1720,3371
1686,2813
1584,3185
1620,2941
1587,3006
1783,3254
1844,3136
1651,2872
1723,2819
1757,3315
1639,2891
1638,3308
1756,2879
1604,3246
1791,2944
1824,3189
1821,2996
1708,2764
1855,3058
1604,2936
1861,3136
1685,3430
1740,2812
1741,3387
1715,3440
1620,3313
1776,3322
1876,3122
1753,3368
1686,2751
1584,3247
1620,2879
1587,2943
1783,2882
1552,3189
1647,3378
1647,2820
1725,2764
1843,3201
1553,3006
1515,3120
1855,3182
1756,2817
1518,3065
1604,3308
1885,3068
1673,3449
1825,3254
1793,3322
1892,3127
1536,3184
1604,2874
1774,3370
1688,3499
1657,2764
1707,3511
1569,2936
1689,2695
1739,2750
1719,3492
1655,3440
1503,3139
1502,3060
1621,2820
1623,3384
1910,3122
1549,3244
1586,2879
1672,3494
1817,3316
1720,2689
1817,2882
1516,3185
1640,2764
1790,3375
1519,3005
1851,2944
1579,3316
1757,2757
1481,3120
1856,3247
1791,2820
1671,2688
1606,3384
1893,3192
1477,3068
1926,3127
1893,3006
1657,2702
1706,2626
1570,2874
1689,3564
1537,3263
1924,3061
1623,2764
1715,3564
1621,3440
1776,3446
1501,2998
1469,3139
1807,2812
1681,2634
1754,3495
1647,3502
1586,2817
1553,3316
1842,2874
1843,3325
1722,2631
1855,3306
1822,3371
1640,2702
1757,2696
1519,2944
1482,3185
1912,3198
1885,3254
1791,2758
1485,3006
1606,2764
1885,2944
1549,2872
1453,3136
1825,2819
1511,3254
1793,3446
1537,2891
1858,2879
1958,3123
1773,3494
1448,3061
1807,3432
1570,2812
1924,2999
1691,3632
1740,2626
1715,3626
1929,3198
1774,2688
1436,3136
1586,3437
1754,3557
1685,2562
1841,2812
1647,2634
1673,2581
1553,2819
1877,3325
1521,3322
1453,3012
1979,3077
1909,2936
1756,2631
1485,3254
1889,3306
1674,3632
1791,3501
1790,2693
1450,3189
1545,3378
1825,3439
1944,2998
1570,3432
1919,3254
1417,3129
1859,3378
1515,2872
1859,2819
1691,2516
1503,2891
1958,3185
1890,2875
1685,3678
1927,2943
1504,3322
1740,2564
1436,3012
1655,3626
1434,3184
1960,3003
1535,2812
1995,3130
1654,2569
1776,3570
1720,3681
1621,3564
1991,3058
1399,3122
1587,3501
1754,3619
1555,3446
1674,2516
1843,3449
1723,2510
1875,2812
1855,3430
1519,3378
1617,2624
1877,3387
1756,2569
1851,2758
1484,3313
1910,2874
1605,2643
1889,3368
1583,2686
1485,2882
1673,3697
1943,2936
1825,3502
1571,2705
1451,3254
1545,2758
1919,3316
1825,2696
1451,2943
1569,3494
1793,3570
1511,2820
1419,3198
1638,2564
1958,3247
2013,3139
1893,2819
1688,3747
2025,3120
1538,3446
1468,3308
1926,2879
2021,3068
1409,3006
1654,3685
1961,2943
1618,3619
1995,3192
1720,3743
1686,2441
1587,3563
1878,2764
1911,2829
1402,3198
1783,2572
1842,2688
1788,3619
1723,2448
1672,3742
1433,2936
1515,3430
1552,2693
1638,3680
1617,2562
1519,2758
1453,2888
1481,3368
1605,2581
1583,2624
1885,3440
1943,2874
1545,3502
1571,2643
2014,3012
1416,3251
1569,3556
1822,2627
1859,3502
1924,3371
1351,3074
1858,2693
1382,3189
1895,2764
1741,2457
1481,2810
1987,2944
2045,3060
1382,3003
1685,3802
1469,2829
2047,3139
1706,2378
1923,2810
1689,2385
2059,3120
1655,3749
1841,3556
1409,2944
1536,2688
1436,2888
1741,3759
1503,3449
1961,2881
1995,3254
1400,3246
1753,3740
1469,3387
1775,3697
2031,3012
1587,3625
2029,3192
1810,3632
1787,3678
1366,3184
1878,2702
1647,2448
1334,3074
2063,3067
1722,2383
1518,3499
1519,2695
1617,2500
1584,2565
1637,3742
2011,3246
1753,2438
1482,3433
1851,2634
1366,2998
1605,2519
1791,2510
1545,3564
1450,3375
1673,3821
2045,3184
1484,2755
1890,3495
1945,3387
1451,2819
1549,2624
1671,2378
1413,3306
1569,3618
1859,3563
1978,2874
1957,3368
1537,2643
1417,2881
1979,3325
1351,3012
1827,3632
2012,2936
1895,2702
1991,3306
1502,3494
1774,3742
1385,3260
1383,2944
2045,2998
1349,3192
1927,3440
1691,3880
1434,3370
1315,3068
1657,3818
1655,2385
1958,2813
1715,3874
1618,3743
1843,2581
1774,2440
1621,2448
1501,2688
1994,2879
2029,3253
1587,3688
1468,2750
2028,2941
1809,3697
1685,2314
1307,3130
1521,2640
2063,3191
1821,3678
1553,3626
1334,3012
1673,2333
2063,3005
1401,3325
1433,2812
1368,3260
1515,3554
1720,2317
1878,3570
1946,2764
2094,3061
1399,2874
1790,3747
1979,2829
1485,3501
1674,3880
1550,2565
1790,2445
1640,3818
1706,3928
1453,3446
1919,2696
1482,2689
1855,2562
2113,3122
1351,2950
1379,3306
1637,2378
1741,2333
1958,3433
1416,2817
1504,2640
1893,2634
1927,3502
1807,3742
1705,2254
1351,3260
2021,3316
2116,3074
1895,3570
1314,3189
1467,3494
1691,3942
1963,2764
2081,3201
1503,3573
1280,3127
1314,3003
2093,3182
1589,2454
1618,3805
1379,2872
1991,2810
1436,3446
1367,2891
1587,3749
1280,3065
1722,3933
1652,2317
1783,3812
1685,2252
1783,2386
2063,3254
1841,2502
1521,2578
1553,3687
1647,3874
1334,2950
1844,3694
1673,2271
1618,2379
1553,2510
1817,2448
1723,2261
1298,3184
1400,2812
1367,3325
2094,2999
1979,2767
2131,3129
1334,3260
2133,3074
1753,2314
1264,3122
1674,3942
1487,3570
1885,2572
1825,3749
1484,2631
1572,2454
1706,3990
1511,3626
1569,3742
1919,2634
1450,2693
1298,2998
1707,2209
1417,2758
2113,3184
1380,3371
1859,2509
1535,3680
2012,2812
1773,3866
1893,3626
1264,3060
1383,2820
1504,2578
1861,3694
1317,2950
1992,3433
1689,3997
2116,3012
2047,3325
1351,3322
1315,3253
1409,3440
2026,3371
2059,3306
1961,3502
2080,2936
1652,3929
2081,3263
1688,2197
1961,2696
1655,2262
2093,3244
1617,3864
1843,2457
1470,3570
1283,3198
1621,2324
1243,3120
1991,2748
1909,3618
1877,2519
1584,3805
1345,2872
1468,2626
2028,2817
1722,3995
1246,3065
1553,3749
1333,2891
1434,2688
1844,3756
1944,3556
2060,2875
1671,3990
2162,3123
1719,2190
1515,3678
1277,2996
1978,3494
1300,2950
1552,2445
1757,2262
1297,3246
2096,2941
2133,3012
1265,3015
1909,2564
1334,3322
2131,3191
1791,3873
1885,3688
1791,2324
1487,3632
1451,3563
2165,3068
1825,3812
1672,2192
1825,2386
1451,2633
1516,2503
1416,3499
1266,3198
2080,3308
1417,2696
1605,3883
1855,2438
1535,3742
2014,3446
1231,3139
1385,3446
1861,3756
1987,2696
1889,2500
1230,3060
1927,3625
1960,3561
1689,4060
1808,3866
1689,2137
1927,2571
2079,2874
1312,3309
1348,2817
1651,3988
1315,2882
1536,2440
1994,3499
1277,3244
1433,3556
1249,3012
1958,2627
1503,3697
2116,3260
1470,3632
2060,3371
1400,3494
1749,3998
1341,3378
2147,2998
1247,3191
1775,3945
2150,3198
1787,3926
2026,2751
2181,3060
1943,3618
1213,3130
1552,3809
1213,3067
1842,2378
2063,2820
1723,4060
2096,3313
2031,3446
1433,2626
1553,2386
1651,2190
1945,2581
1516,3743
1368,3446
2191,3130
